Name,X,Y,GSE,TOS,BOS,KrigedBot,KrigedTop,KrigeType,Subregion,FG_Elem
357181N1193837W001,827154.2206,3958714.397,255.1,27.09311024,-93.10636483,TRUE,TRUE,3,19,29063
357181N1195896W001,808519.8916,3958046.476,222.53,-365.1698031,-480.4526115,TRUE,TRUE,3,19,28593
357181N1195985W001,807714.4545,3958018.491,222.53,-352.5382415,-460.8223622,TRUE,TRUE,3,19,28481
357181N1196074W001,806909.0198,3957990.579,222.53,-350.1934252,-451.5904068,TRUE,TRUE,3,19,28480
357181N1196166W001,806076.4381,3957961.804,222.53,-346.2137664,-440.8705906,TRUE,TRUE,3,19,28479
357183N1191784W001,845734.7289,3959441.701,407.68,-275.5050394,-903.5083202,TRUE,TRUE,3,20,30153
357183N1191962W001,844123.6284,3959379.018,371.97,-296.7130709,-824.0483727,TRUE,TRUE,3,20,30154
357183N1192587W001,838466.758,3959161.254,310.64,-212.6785696,-473.168399,TRUE,TRUE,3,20,29705
357183N1193667W001,828691.9884,3958793.496,262.6,-12.84947507,-119.931168,TRUE,TRUE,3,19,29065
357183N1193671W001,828655.7863,3958792.154,264.6,-10.97185039,-118.7487533,TRUE,TRUE,3,19,29065
357183N1194373W001,822302.388,3958558.936,236.38,-194.7348294,-345.8027428,TRUE,TRUE,3,19,28934
357183N1195417W001,812854.03,3958220.547,219.54,-297.7506824,-508.1538976,TRUE,TRUE,3,19,28704
357183N1196816W001,800193.3878,3957782.927,,,,TRUE,TRUE,3,19,28365
357186N1196872W001,799685.4872,3957799.078,224.55,-333.547769,-399.9155512,TRUE,TRUE,3,19,28366
357189N1193662W001,828734.7723,3958861.762,263.6,-12.53024934,-116.3320866,TRUE,TRUE,3,19,29065
357189N1194198W001,823883.7655,3958683.234,241.59,-140.093727,-272.8637402,TRUE,TRUE,3,19,28935
357189N1196621W001,801955.7929,3957909.419,225.04,-348.2342782,-420.7342782,TRUE,TRUE,3,19,28474
357191N1194758W001,818814.8483,3958521.753,223.57,-241.3584777,-425.5389239,TRUE,TRUE,3,19,28814
357194N1194892W001,817600.9448,3958511.525,221.56,-254.6037139,-450.7188714,TRUE,TRUE,3,19,28813
357200N1192774W001,836767.0807,3959285.477,303.63,-187.9851575,-378.7282677,TRUE,TRUE,3,20,29577
357202N1192943W001,835236.6889,3959249.704,297.13,-171.8385039,-310.5061549,TRUE,TRUE,3,20,29457
357203N1195796W001,809416.3609,3958322.147,221.54,-416.1511417,-522.1947769,TRUE,TRUE,3,19,28594
357205N1192413W001,840032.2526,3959465.685,318.64,-242.0565223,-564.9364436,TRUE,TRUE,3,20,29830
357205N1194897W001,817551.3228,3958631.978,219.56,-258.5541732,-451.9436089,TRUE,TRUE,3,19,28813
357208N1190409W001,858169.1794,3960213.295,777.8,-27.11371391,-1153.664895,TRUE,TRUE,3,20,30647
357208N1195793W001,809441.5734,3958378.581,221.54,-424.3517323,-527.0544882,TRUE,TRUE,3,19,28594
357211N1193662W001,828725.7195,3959105.92,260.6,-13.64442257,-109.4577428,TRUE,TRUE,3,19,29065
357214N1197927W001,790128.2378,3957792.302,312.69,-260.1062598,-323.4724016,TRUE,TRUE,3,19,27909
357217N1193323W001,831791.2708,3959286.799,281.11,-87.45824147,-149.214147,TRUE,TRUE,3,20,29208
357217N1197538W001,793647.1792,3957941.457,244.61,-309.0159843,-370.0507612,TRUE,TRUE,3,19,28137
357222N1190698W001,855547.1226,3960263.374,731.77,-27.16077428,-1171.392073,TRUE,TRUE,3,20,30549
357228N1195538W001,811741.4257,3958681.363,217,-291.5,-521.5,FALSE,FALSE,1,19,28704
357230N1193488W001,830292.6066,3959375.314,270.61,-37.62654856,-104.120643,TRUE,TRUE,3,19,29207
357231N1190881W001,853886.7917,3960296.981,702.76,199.7573753,-1145.24,FALSE,FALSE,1,20,30547
357236N1191695W001,846517.2882,3960061.393,419.68,-257.4289239,-913.5890289,TRUE,TRUE,3,20,30250
357236N1195804W001,809331.1873,3958685.832,222.54,-439.374042,-532.3625591,TRUE,TRUE,3,19,28594
357236N1196241W001,805376.6846,3958548.745,222.54,-369.956063,-459.3674803,TRUE,TRUE,3,19,28478
357239N1197593W001,793141.4152,3958169.116,247.63,-314.084895,-376.2200656,TRUE,TRUE,3,19,28020
357241N1196547W001,802605.768,3958509.291,219.54,-367.5866404,-443.7063911,TRUE,TRUE,3,19,28371
357242N1194671W001,819581.8066,3959116.081,222.57,-241.4099869,-395.1652362,TRUE,TRUE,3,19,28933
357242N1199888W001,772374.335,3957540.229,512.96,-97.7489895,-201.1935433,TRUE,TRUE,3,19,27792
357250N1190506W001,857272.4091,3960644.037,767.1933333,-226.9707087,-1230.973333,FALSE,FALSE,1,20,30646
357250N1194199W001,823849.9856,3959359.875,240.59,-150.3204331,-255.933622,TRUE,TRUE,3,19,28936
357250N1194766W001,818718.9089,3959173.912,221.57,-251.512021,-413.8138583,TRUE,TRUE,3,19,28814
357252N1192124W001,842627.7543,3960088.037,,,,TRUE,TRUE,3,20,30052
357252N1196859W001,799778.3694,3958535.449,222.56,-343.1693307,-410.5541732,TRUE,TRUE,3,19,28366
357253N1192412W001,840020.8681,3959998.765,311.64,-253.6309974,-562.9252887,TRUE,TRUE,3,20,29830
357253N1193406W001,831025.1805,3959658.253,275.61,-51.06290026,-111.3529265,TRUE,TRUE,3,19,29207
357255N1191843W001,845169.5932,3960220.007,396.67,-283.7811155,-846.4248163,TRUE,TRUE,3,20,30154
357256N1192951W001,835141.6259,3959846.279,290.63,-165.8085171,-290.0890289,TRUE,TRUE,3,20,29458
357256N1193570W001,829539.7757,3959636.247,264.61,-23.94839895,-96.85489501,TRUE,TRUE,3,19,29205
357269N1194374W001,822258.6436,3959513.02,233.59,-199.4969423,-307.9936614,TRUE,TRUE,3,19,28817
357269N1194772W001,818657.0327,3959382.816,222.57,-255.0123491,-412.0720604,TRUE,TRUE,3,19,28814
357278N1197018W001,798329.909,3958775.437,235.57,-328.5812467,-393.0175984,TRUE,TRUE,3,19,28252
357281N1190706W001,855448.449,3960915.329,702.77,-77.67389764,-1152.013793,TRUE,TRUE,3,20,30549
357283N1191698W001,846469.7437,3960581.98,417.68,-258.5161942,-882.3485433,TRUE,TRUE,3,20,30250
357289N1192053W001,843254.4186,3960523.553,354.66,-291.2038451,-737.1730052,TRUE,TRUE,3,20,30052
357289N1192409W001,840032.6894,3960399.356,310.14,-255.2035039,-555.7064567,TRUE,TRUE,3,20,29830
357292N1193120W001,833597.1527,3960188.123,283.62,-126.3645801,-209.8288189,TRUE,TRUE,3,20,29338
357292N1198732W001,782816.3568,3958422.488,412.93,-177.5329265,-258.3488714,TRUE,TRUE,3,19,27801
357300N1194795W001,818436.5415,3959719.364,222.57,-267.2577559,-419.8095932,TRUE,TRUE,3,19,28815
357306N1191167W002,851265.2477,3961026.442,461.92,-39.43262467,-759.43,FALSE,FALSE,1,20,30449
357310N1198536W001,784583.3172,3958678.97,362.12,-228.0461417,-304.9877428,TRUE,TRUE,3,19,27802
357311N1196238W001,805375.1609,3959381.965,,,,TRUE,TRUE,3,19,28478
