Name,X,Y,ObsWL,SimWL,Residual,pt_size,color
370468N1204421W001,727473.2177999998,4103124.3389999997,41.5938888888889,20.402500000000003,21.19138888888889,5.603410571401262,#ff6a00
373571N1207085W001,702945.6102,4136951.094,77.46124999999999,98.6525,-21.191249999999997,5.603395485942958,#008cff
372880N1203432W001,735519.7116,4130131.377,175.57916666666665,154.40333333333334,21.175833333333333,5.601720692668486,#ff6a00
359636N1194782W001,817619.8044000004,3985648.0709999986,36.93,15.77114285714285,21.15885714285715,5.599875774720134,#ff6a00
350833N1189632W001,868095.0700000001,3889741.1550000003,128.48999999999995,149.618,-21.127999999999997,5.5965204231026755,#008cff
379197N1209860W001,677025.4627,4198818.147,-7.1021052631578945,14.01736842105263,-21.119473684210526,5.595592854486843,#008cff
372993N1206796W001,705663.0865000001,4130599.9399999985,93.2751724137931,114.39344827586211,-21.118275862068966,5.595462529720916,#008cff
373243N1205960W001,713003.3209999998,4133559.3250000007,110.54862857142858,131.66514285714285,-21.11651428571429,5.595270860973734,#008cff
362364N1199943W001,770123.4172,4014359.639,-28.11,-49.21,21.1,5.5934736311423405,#ff6a00
352117N1191995W001,845992.0047,3903142.42,219.92,198.82,21.09999999999998,5.593473631142339,#ff6a00
351658N1188513W001,877922.4892999997,3899318.332999999,118.2242857142857,139.3185714285714,-21.094285714285718,5.592851588532523,#008cff
359789N1201166W001,759977.4693,3985453.192,453.63,432.54499999999996,21.085000000000008,5.591840589567544,#ff6a00
365755N1199304W001,774670.1286999998,4052169.6170000033,53.748695652173936,74.82347826086956,-21.074782608695656,5.590727895301098,#008cff
373968N1206457W001,708398.3346999997,4141493.3310000002,95.76500000000003,116.83733333333333,-21.072333333333333,5.590461124259014,#008cff
365616N1198824W001,779016.4888999992,4050765.453,81.87325581395353,60.849534883720914,21.023720930232567,5.5851631301658795,#ff6a00
394208N1221341W004,574534.2067000002,4363832.562000002,67.42434782608696,88.44478260869565,-21.020434782608696,5.584804770391941,#008cff
374005N1206816W001,705209.9740999996,4141825.1459999993,87.38869565217391,108.4078260869565,-21.01913043478261,5.5846625213621355,#008cff
