name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_373899N1204596W001	7.68E-08	0.001423929	0.998573114	2.8812E-06	3	3	sub11sub12sub13
C_373902N1209002W001	0.315499617	0.442310633	0.172029635	0.070160115	2	2	sub11sub12sub13
C_373905N1208866W001	0.311308401	0.260402727	0.35613876	0.072150112	3	3	sub11sub12sub13
C_373907N1208835W001	0.944066839	0.002805464	0.017106002	0.036021695	1	1	sub11sub12sub13
C_373968N1208271W001	0.39676165	0.000933507	0.002050002	0.600254841	4	4	sub11sub12sub13
C_373988N1207068W001	2.87752E-05	0.999054084	0.000903279	1.38624E-05	2	2	sub11sub12sub13
C_374018N1205824W001	5.3585E-06	0.321184272	0.678747856	6.25141E-05	3	3	sub11sub12sub13
C_374046N1208632W001	0.263416089	0.000648279	0.000162667	0.735772965	4	4	sub11sub12sub13
C_374055N1207949W001	0.940291301	0.000215169	2.85553E-05	0.059464975	1	1	sub11sub12sub13
C_374063N1208568W001	0.026579694	0.000251203	7.07409E-05	0.973098362	4	4	sub11sub12sub13
C_374088N1208843W001	0.017055147	0.008194346	0.923026675	0.051723833	3	3	sub11sub12sub13
C_374116N1208318W001	0.653516936	0.001016369	0.001768882	0.343697814	1	1	sub11sub12sub13
C_374118N1208996W001	0.000329911	0.000552623	0.224837643	0.774279823	4	4	sub11sub12sub13
C_374130N1209224W001	0.138517025	0.015523298	0.08251256	0.763447117	4	4	sub11sub12sub13
C_374157N1208129W001	0.993271901	0.000220218	0.00107519	0.005432691	1	1	sub11sub12sub13
C_374188N1208879W001	0.110904424	0.009887818	0.004512432	0.874695326	4	4	sub11sub12sub13
C_374274N1208499W001	0.723381326	0.009062461	0.01039216	0.257164053	1	1	sub11sub12sub13
C_374332N1208743W001	0.019903225	0.000560603	0.000248418	0.979287754	4	4	sub11sub12sub13
C_374335N1207479W001	0.442698731	0.062744157	0.001536551	0.493020562	4	4	sub11sub12sub13
C_374371N1209310W001	0.762156159	0.022025772	0.04371991	0.172098158	1	1	sub11sub12sub13
C_374377N1209427W001	0.972678947	0.004086986	0.003108386	0.020125682	1	1	sub11sub12sub13
C_374382N1205621W001	0.000231558	0.169885955	0.829677671	0.000204816	3	3	sub11sub12sub13
C_374418N1209510W001	0.203966684	0.399357687	0.170778053	0.225897576	2	2	sub11sub12sub13
C_374449N1207716W001	2.50205E-05	0.000359594	0.833515075	0.166100311	3	3	sub11sub12sub13
C_374463N1207891W001	0.939841381	0.002109135	0.046130569	0.011918914	1	1	sub11sub12sub13
C_374485N1208857W001	0.602337183	0.00304746	0.005258239	0.389357118	1	1	sub11sub12sub13
C_374493N1206671W001	3.88E-08	0.001926456	0.997983447	9.00582E-05	3	3	sub11sub12sub13
C_374493N1206760W001	0.000114038	0.34103296	0.581708509	0.077144493	3	3	sub11sub12sub13
C_374493N1208354W001	0.889872394	0.020536565	0.016532611	0.07305843	1	1	sub11sub12sub13
C_374493N1209443W001	0.908808096	0.004596411	0.011003526	0.075591967	1	1	sub11sub12sub13
C_374507N1207741W001	0.083801442	0.000829391	7.52339E-05	0.915293933	4	4	sub11sub12sub13
C_374513N1206504W001	6.4022E-06	0.011128321	0.988746194	0.000119082	3	3	sub11sub12sub13
C_374571N1208768W001	0.481542891	0.001105753	0.000961014	0.516390342	4	4	sub11sub12sub13
C_374582N1206907W001	0.000314541	0.047640849	0.171513553	0.780531057	4	4	sub11sub12sub13
C_374585N1209766W001	0.842550416	0.019345321	0.015201806	0.122902457	1	1	sub11sub12sub13
C_374591N1206338W001	1E-10	6.4297E-06	0.999993555	0.000000015	3	3	sub11sub12sub13
C_374624N1206282W001	7E-10	0.844503449	0.155496103	4.476E-07	2	2	sub11sub12sub13
C_374680N1208491W001	0.4414059	0.025719222	0.010238722	0.522636156	4	4	sub11sub12sub13
C_374699N1207441W001	0.414356574	0.001262932	0.000484336	0.583896158	4	4	sub11sub12sub13
C_374707N1207991W001	0.992983835	2.97994E-05	3.24769E-05	0.006953889	1	1	sub11sub12sub13
