NAME	X	Y	Element	BOS	TOS	Layer
C_374316N1210994W003	668156.5843	4144447.925	17060	-6.23	13.78968504	-1
C_374321N1208138W001	693426.7512	4145051.456	18326	-6.837677165	53.94545932	-1
C_374327N1208321W001	691805.9095	4145080.617	18326	-9.620380577	36.81990814	-1
C_374338N1207604W001	698147.4958	4145351.077	18534	0.534068241	86.75027559	2
C_374341N1209393W001	682316.8972	4145023.103	18075	-79.33769029	30.78730971	-1
C_374343N1209277W001	683342.8102	4145067.807	18158	-62.09290026	34.37166667	-1
C_374349N1211213W001	666211.4993	4144775.225	16949	-354.0782283	-273.533937	-1
C_374382N1205621W001	715681.9243	4146274.95	18928	-267.5246982	-161.3537664	-1
C_374396N1208318W001	691814.8345	4145846.868	18327	4.253307087	34.38650919	-1
C_374407N1208074W001	693970.8586	4146018.896	18424	-36.06349081	49.38664042	-1
C_374410N1210349W001	673842.0418	4145608.004	17365	-159.1	-147.0973753	-1
C_374418N1209510W001	681263.0676	4145854.918	18076	-114.3844094	42.04374016	1
C_374421N1205407W001	717564.1847	4146756.951	18931	-340.33	-228.6879396	-1
C_374449N1208949W001	686218.7676	4146308.335	18160	-12.82795276	67.18188976	-1
C_374463N1207891W001	695575.4042	4146678.135	18425	-94.68	109.827874	-1
C_374466N1208816W001	687391.1866	4146523.35	18161	-67.69311024	53.38727034	1
C_374482N1208479W001	690368.5396	4146768.478	18242	-51.19812336	3.677860892	-1
C_374482N1208663W001	688740.7402	4146731.442	18161	-96.36918635	36.39787402	-1
C_374488N1209946W001	677389.1003	4146548.625	17809	-140.3943701	-52.80217848	-1
C_374493N1206760W001	705573.3217	4147251.927	18663	-382.64	-50.6462336	-1
C_374493N1207735W001	696947.6786	4147043.538	18536	52.70188976	108.7835827	-1
C_374493N1207954W001	695010.2473	4146997.96	18425	-65.90030184	89.37594488	-1
C_374493N1209443W001	681837.6785	4146700.035	18077	-122.291063	48.06622047	1
C_374507N1207741W001	696890.9265	4147197.632	18427	74.32	116.7950656	-1
C_374513N1206504W001	707832.5943	4147530.057	18798	-137.63	62.35687664	-1
C_374607N1211652W001	662271.512	4147561.364	16721	-324.5766667	-103.9011417	-1
C_374627N1207754W001	696744.4631	4148526.48	18427	8.644737533	79.16704724	-1
C_374627N1208299W001	691923.8789	4148413.975	18329	-79.36229659	56.79255906	-1
C_374635N1211307W001	665316.8181	4147932.059	16951	-313.5781234	-234.8497769	-1
C_374638N1207877W001	695653.6426	4148622.905	18427	-27.80811024	82.01636483	2
C_374638N1208132W001	693398.1721	4148570.212	18330	-77.97887139	95.05524934	-1
C_374638N1209241W001	683589.2021	4148348.163	17999	-119.8468241	43.0455643	-1
C_374643N1207274W001	700985.8682	4148805.425	18539	-69.98447507	59.80062992	-1
C_374643N1208496W001	690177.3488	4148551.536	18244	-68.93653543	81.9030315	-1
C_374663N1206910W001	704200.0296	4149105.698	18541	-52.5906168	158.8273622	-1
C_374677N1206071W001	711616.9772	4149446.379	18547	-255.2609055	-36.51385827	-1
C_374693N1206496W001	707853.5042	4149529.218	18543	-187.5496194	-23.53419948	-1
C_374702N1206677W001	706250.1643	4149589.269	18543	-129.5277953	22.26026247	-1
C_374713N1208674W001	688585.3732	4149292.461	18164	-16.72	90.78787402	-1
C_374741N1208327W001	691647.0949	4149673.247	18246	-78.56728346	98.42519685	1
C_374760N1209304W001	683002.2201	4149689.621	18000	26.31	74.78506562	-1
C_374771N1209566W001	680682.6186	4149761.058	17912	-98.99311024	61.45767717	-1
C_374774N1208843W001	687075.5267	4149935.604	18163	8.027283465	69.53843832	-1
C_374777N1208496W001	690143.3827	4150038.435	18245	-74.53374016	95.56173228	-1
C_374780N1208879W001	686755.6759	4149995.031	18163	48.27	87.77787402	-1
