name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	i.cluster	subregion
C_356461N1193667W001	0	0	1.6E-09	0	0.999999998	5	5	sub19sub20sub21
C_356464N1191609W001	0.397497067	0.601270553	4.64325E-05	0.001158392	0.000027555	2	2	sub19sub20sub21
C_356464N1191692W001	3.39182E-05	0.999950301	1.0698E-06	1.4197E-06	1.32918E-05	2	2	sub19sub20sub21
C_356472N1192502W001	7E-10	2.88E-08	5.98804E-05	5.5595E-06	0.999934531	5	5	sub19sub20sub21
C_356475N1192402W001	5.2927E-06	3.64207E-05	0.991366765	0.001564824	0.007026698	3	3	sub19sub20sub21
C_356531N1191656W001	5.51318E-05	0.999613912	7.4338E-06	0.000120547	0.000202975	2	2	sub19sub20sub21
C_356538N1192602W001	0	3.1E-09	3.4338E-06	1.986E-07	0.999996365	5	5	sub19sub20sub21
C_356550N1190578W001	0.056142765	0.87526346	0.026134347	0.020542881	0.021916548	2	2	sub19sub20sub21
C_356569N1193505W001	0	0	1.8E-09	0.000000001	0.999999997	5	5	sub19sub20sub21
C_356597N1192599W001	0.000000006	1.644E-07	2.96888E-05	0.000003051	0.99996709	5	5	sub19sub20sub21
C_356600N1194198W001	0	7E-10	6.188E-07	9.6E-09	0.999999371	5	5	sub19sub20sub21
C_356605N1192777W001	0.000000001	1.406E-07	9.3686E-06	3.1787E-06	0.999987311	5	5	sub19sub20sub21
C_356628N1193753W001	0.922421868	0.072094414	0.001523084	0.003003343	0.000957291	1	1	sub19sub20sub21
C_356639N1191909W001	0.530113673	0.063769575	0.055717488	0.023267165	0.327132099	1	1	sub19sub20sub21
C_356675N1193584W001	0.868344555	0.100246413	0.006830525	0.019478587	0.00509992	1	1	sub19sub20sub21
C_356681N1190962W001	0.001436727	0.834401413	0.021916252	0.040292152	0.101953456	2	2	sub19sub20sub21
C_356742N1193581W001	5.1E-09	1.656E-07	2.16926E-05	1.2964E-06	0.99997684	5	5	sub19sub20sub21
C_356744N1192777W001	0.000000006	2.906E-07	1.56846E-05	1.0517E-06	0.999982967	5	5	sub19sub20sub21
C_356744N1194032W001	1.5E-09	7.22E-08	0.000213515	7.8532E-06	0.999778558	5	5	sub19sub20sub21
C_356747N1193330W001	0.000114002	0.000587634	0.000694859	0.001554872	0.997048635	5	5	sub19sub20sub21
C_356752N1193043W001	0	0	7E-10	1E-10	0.999999999	5	5	sub19sub20sub21
C_356781N1191206W001	0.983432457	0.016558236	4.1034E-06	2.3283E-06	2.8751E-06	1	1	sub19sub20sub21
C_356894N1191228W001	0.002678702	0.997061974	0.000001354	0.000251497	6.4736E-06	2	2	sub19sub20sub21
C_356961N1193484W001	1.41E-08	0.000003289	4.84951E-05	8.3315E-06	0.99993987	5	5	sub19sub20sub21
C_356967N1193840W001	0.000120805	0.001065501	0.004678018	0.002920555	0.991215121	5	5	sub19sub20sub21
C_356986N1191162W001	5.43319E-05	0.001345146	0.001949445	0.00000329	0.996647787	5	5	sub19sub20sub21
C_357106N1193570W001	0.763581868	0.235508296	0.000162009	0.000711945	3.58821E-05	1	1	sub19sub20sub21
C_357211N1193662W001	0.105285416	0.801810878	0.027425076	0.025622574	0.039856056	2	2	sub19sub20sub21
