name	clus_1	clus_2	clus_3	clus_4	memb	cluster	subregion
S_389249N1219140W001	0.0000002217	0.0000000058	0.9998709999	0.0001287725	3	3	sub3sub4
S_389249N1219140W002	0.9999999841	0.0000000000	0.0000000159	0.0000000000	1	1	sub3sub4
S_389249N1219140W003	0.9999999516	0.0000000000	0.0000000484	0.0000000000	1	1	sub3sub4
S_389281N1218056W001	0.9999995640	0.0000000000	0.0000004360	0.0000000000	1	1	sub3sub4
S_389304N1218843W001	0.9999999495	0.0000000000	0.0000000504	0.0000000000	1	1	sub3sub4
S_389304N1218843W002	0.0000003861	0.0000000000	0.9999992262	0.0000003877	3	3	sub3sub4
S_389304N1218843W003	0.9999942933	0.0000000000	0.0000057065	0.0000000002	1	1	sub3sub4
S_389528N1217918W001	0.9966443893	0.0001665014	0.0029927181	0.0001963913	1	1	sub3sub4
S_389528N1217918W002	0.9968259898	0.0003119137	0.0026610968	0.0002009997	1	1	sub3sub4
S_389528N1217918W003	0.9973020424	0.0002358286	0.0023126418	0.0001494872	1	1	sub3sub4
S_389605N1218102W001	0.1023399153	0.0000001217	0.8975579809	0.0001019821	3	3	sub3sub4
S_389605N1218102W002	0.8485045491	0.0003367767	0.1511087113	0.0000499629	1	1	sub3sub4
S_389605N1218102W003	0.9484102059	0.0024656463	0.0489172772	0.0002068706	1	1	sub3sub4
S_389606N1218011W001	0.9999271116	0.0000203647	0.0000509550	0.0000015686	1	1	sub3sub4
S_389669N1218440W001	0.4184390764	0.0000041820	0.5814513889	0.0001053527	3	3	sub3sub4
S_389669N1218440W002	0.9805386115	0.0000012505	0.0189235586	0.0005365795	1	1	sub3sub4
S_389689N1218653W002	0.0406619173	0.0000000244	0.9593263191	0.0000117392	3	3	sub3sub4
S_389694N1219259W001	0.0000092625	0.0000000012	0.9989427071	0.0010480293	3	3	sub3sub4
S_389694N1219259W002	0.9999997221	0.0000000001	0.0000002775	0.0000000003	1	1	sub3sub4
S_389694N1219259W003	0.9999996306	0.0000000000	0.0000003694	0.0000000001	1	1	sub3sub4
S_389803N1217675W001	0.0000563369	0.9999423320	0.0000007122	0.0000006189	2	2	sub3sub4
S_390088N1220877W003	0.0000000001	0.0000000000	0.0000000037	0.9999999961	4	4	sub3sub4
S_390124N1218291W001	0.0000000092	0.0000000065	0.0001013702	0.9998986141	4	4	sub3sub4
S_390124N1218291W002	0.0000005645	0.0000000000	0.9999994316	0.0000000039	3	3	sub3sub4
S_390124N1218291W003	0.8587624150	0.0000000098	0.1412366765	0.0000008987	1	1	sub3sub4
S_390124N1218291W004	0.0048053110	0.1593019499	0.4354375600	0.4004551791	3	3	sub3sub4
S_390244N1217813W003	0.0000075134	0.0000000044	0.9999914637	0.0000010184	3	3	sub3sub4
S_390291N1219319W001	0.9999999996	0.0000000000	0.0000000004	0.0000000000	1	1	sub3sub4
S_390433N1218097W001	0.0061798807	0.6985572769	0.0246761254	0.2705867170	2	2	sub3sub4
S_390483N1218664W001	0.9893414852	0.0004605135	0.0025560075	0.0076419937	1	1	sub3sub4
S_390576N1221586W001	0.0000001392	0.0000000085	0.0000037830	0.9999960693	4	4	sub3sub4
S_390696N1217778W001	0.0158806972	0.1251464697	0.8506734717	0.0082993613	3	3	sub3sub4
S_390696N1217778W002	0.0869327213	0.0000131209	0.9128718971	0.0001822608	3	3	sub3sub4
S_390696N1217778W003	0.9268262416	0.0000009087	0.0731577715	0.0000150782	1	1	sub3sub4
S_390696N1217778W004	0.2633654112	0.0000001401	0.7366231454	0.0000113034	3	3	sub3sub4
S_390921N1221422W001	0.0000000006	0.0000000000	0.0000000025	0.9999999969	4	4	sub3sub4
S_390930N1219767W001	0.0000611410	0.9569191670	0.0017961865	0.0412235055	2	2	sub3sub4
S_391021N1221961W001	0.0000000089	0.0000000009	0.0000000402	0.9999999501	4	4	sub3sub4
S_391210N1222088W001	0.0000010808	0.0000052142	0.0000040209	0.9999896840	4	4	sub3sub4
S_391330N1222165W001	0.0000000214	0.0000000553	0.0000001158	0.9999998075	4	4	sub3sub4
S_391330N1222165W002	0.0135736601	0.0182705937	0.0829736856	0.8851820606	4	4	sub3sub4
