name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_384260N1212853W001	0.000001866	0.014034772	0.00179835	0.984165013	4	4	sub8sub9
C_384272N1214018W001	0.01990931	0.97972594	0.000307677	5.70724E-05	2	2	sub8sub9
C_384374N1214022W001	0.002558687	0.988430254	0.008860085	0.000150974	2	2	sub8sub9
C_384417N1213354W001	2.401E-07	0.999999628	5.01E-08	8.16E-08	2	2	sub8sub9
C_384425N1213031W001	1.19155E-05	4.663E-07	1.14771E-05	0.999976141	4	4	sub8sub9
C_384526N1211695W001	0.999999149	0	5E-10	8.501E-07	1	1	sub8sub9
C_384600N1211432W001	0.999999983	1.8E-09	4.6E-09	1.03E-08	1	1	sub8sub9
C_385037N1212467W001	0.006663129	0.004207597	0.000226173	0.988903101	4	4	sub8sub9
C_385038N1212203W001	0.999938934	4.41E-08	5.3088E-06	5.57131E-05	1	1	sub8sub9
C_385047N1213636W001	0.000343161	0.999602084	4.51727E-05	9.5824E-06	2	2	sub8sub9
C_385112N1213142W001	0.000112663	0.000324616	0.998610519	0.000952202	3	3	sub8sub9
C_385159N1212845W001	0.752317222	0.025069254	0.217364385	0.005249139	1	1	sub8sub9
C_385162N1215818W001	1.6573E-06	4.5838E-06	0.999948845	4.49138E-05	3	3	sub8sub9
C_385177N1212619W001	1	0	0	0	1	1	sub8sub9
C_385223N1213630W001	2.71E-08	0.99998731	6.034E-07	1.20592E-05	2	2	sub8sub9
C_385259N1213355W001	0.066243763	0.014805204	0.900169916	0.018781117	3	3	sub8sub9
C_385343N1214280W001	0.000400932	0.999551536	3.86609E-05	8.8716E-06	2	2	sub8sub9
C_385537N1214369W001	0.314024174	0.244410305	0.433737181	0.00782834	3	3	sub8sub9
C_385543N1212592W001	0.999997351	1.2E-09	2.019E-07	2.4454E-06	1	1	sub8sub9
C_385578N1213240W001	0.999999974	1.1E-09	0.000000005	1.97E-08	1	1	sub8sub9
C_385849N1213173W001	0.001307352	0.005263174	0.983200385	0.010229089	3	3	sub8sub9
C_385974N1212706W001	0.004802303	0.000106534	4.06341E-05	0.995050529	4	4	sub8sub9
